nazwa firmy;adres;www;email;telefony;branże
EKOID;ul. gen. Henryka Le Ronda 7640-302 Katowice;www.ekoid.pl;ekoid@ekoid.pl;['tel. (32) 353 32 14', 'tel./fax (32) 255 28 23'];['Geologia i geofizyka']
FUNDAMENT Sp. z o.o.;ul. Planetarna 780-299 Gdańsk;www.fundament.gda.pl;biuro@fundament.gda.pl;['tel. (58) 344 95 80', 'kom. 602 215 053', 'kom. 784 015 529'];['Geologia i geofizyka', 'Ochrona środowiska, ekologia']
Geo-Radar Anna Groffik;ul. Malinowa 2c Wilczyce51-361 Wrocław;www.geo-radar.pl;info@gpr-P|;['kom. 510 052 565'];['Geologia i geofizyka', 'Usługi archeologiczne']
GEO-VISION Sobkiewicz - Pracownia Badań Geologicznych;ul. Pawłowska 7 Radziejów47-208 Reńska Wieś;www.geo-vision.pl;geo-vision@wp.p|;['kom. 607 842 318', 'kom. 607 165 461'];['Geologia i geofizyka', 'Architekci', 'Studnie, studniarstwo']
GEO2000;ul. Rumiankowa 1954-512 Wrocław - Fabryczna;www.geo2000.pl;geo2000@box.pop.p|;['tel. (71) 738 23 34'];['Geologia i geofizyka']
GEOLEH Pracownia Projektów i Realizacji Inwestycji Geologicznych, Ekologicznych i Górniczych Leon Helwak;ul. Świętojańska 78/1481-389 Gdynia;www.geoleh.pl;biuro@geoleh.pl;['tel. (58) 620 70 17', 'fax (58) 73 222 54', 'kom. 607 914 933'];['Geologia i geofizyka', 'Ochrona środowiska, ekologia']
INŻ-GEO Badania i Roboty Geotechniczne Sp. z o.o. Sp.komandytowa;ul. Zatorska 4651-215 Wrocław - Psie-Pole;www.inzgeo.pl;inzgeo@inzgeo.pl;['kom. 609 233 083'];['Geologia i geofizyka']
Przedsiębiorstwo Geologiczne S.A. Kraków;al. Kijowska 16a30-079 Kraków - Krowodrza;www.pgsa.krakow.pl;pgsa@pgsa.krakow.p|;['tel. (12) 636 50 22', 'tel. (12) 636 23 53', 'tel. (12) 636 73 41', 'fax (12) 636 54 68'];['Geologia i geofizyka']
AQUA Przedsiębiorstwo Geologiczne;ul. Południowa 28 Jagatowo83-010 Straszyn;www.pgaqua.pl;biuroapgaqua-pl;['kom. 531 313 163'];['Geologia i geofizyka']
GEOKRAK Sp. z o.o.;ul. Mazowiecka 2130-019 Kraków - Krowodrza;www.geokrak.pl;geokrak@geokrak.pl;['tel./fax (12) 632 09 00', 'tel./fax (12) 633 81 10'];['Geologia i geofizyka']
GEOSET S.c. A.Kuzora, A.Kryczałło, P.Kozak;ul. Dolne Migowo 16e80-282 Gdańsk;www.geoset.biz;geoset@geoset.biz;['kom. 501 892 133', 'kom. 501 892 144', 'kom. 501 090 181'];['Geologia i geofizyka']
GEOTEST Sp. z o.o.;ul. Wita Stwosza 2302-661 Warszawa - Mokotów;www.geotest.pl;geotest@geotest.pl;['tel./fax (22) 844 39 66', 'kom. 601 254 941'];['Geologia i geofizyka']
HPC POLGEOL S.A.;ul. Berezyńska 3903-908 Warszawa - Praga-Południe;www.hpc.ag;P°'9e0|@hpc-polgeol.p|;['tel. (22) 617 30 31', 'fax (22) 617 42 21'];['Geologia i geofizyka', 'Woda - uzdatnianie, badanie']
BIO-GEO;ul. Łączna 99e44-200 Rybnik;www.biogeo.pl;biuro@biogeo.pl;['kom. 607 935 222'];['Geologia i geofizyka']
DGI Projekt;ul. Świeradowska 51-5750-559 Wrocław - Krzyki;www.dgiprojekt.pl;biuro@dgiprojekt.pl;['kom. 503 900 078'];['Geologia i geofizyka']
DOMA-WIERT Usługi Wiertnicze Grzegorz Mikoda;Domaniów 6255-216 Domaniów;www.doma-wiert.pl;biuro@doma-wiert.pl;['kom. 604 665 879'];['Geologia i geofizyka', 'Studnie, studniarstwo']
Firma Geologiczna WODGEO;ul. Niecała 2243-360 Bystra;www.wodgeo.bielsko.pl;firma@wodgeo.bielsko.pl;['tel./fax (33) 822 04 15', 'kom. 502 252 050'];['Geologia i geofizyka']
Przedsiębiorstwo Geologiczno Wiertnicze PAWLAK;ul. Wolbromska 703-680 Warszawa - Targówek;www.pgwpawlak.pl;zbigniewbigaj@hydrogeologia.com.pl;['tel. (22) 678 18 71', 'kom. 601 991 098', 'fax (22) 252 04 43'];['Geologia i geofizyka']
Aplan Studio;ul. Krakowska 14034-120 Andrychów;www.geologia.aplanstudio.com;None;['kom. 605 497 111', 'kom. 601 256 264', 'tel./fax (33) 875 76 09', 'kom. 605 427 703'];['Geologia i geofizyka', 'Architekci', 'Architektura wnętrz']
Geologia Krzysztof Marian Sobol;ul. Topolowa 443-300 Bielsko-Biała;www.geologiakms.pl;None;['tel./fax (33) 814 37 33', 'kom. 601 818 864'];['Geologia i geofizyka']
Nowe Przedsiębiorstwo Geologiczne S.c.;ul. Krótka 2742-200 Częstochowa;www.neogeo.pl;None;['tel./fax (34) 361 57 16'];['Geologia i geofizyka']
Przedsiębiorstwo Robót Geologiczno-Wiertniczych;ul. Nowopogońska 1a41-205 Sosnowiec;www.prgw.com.pl;None;['tel. (32) 788 28 00-01', 'fax (32) 788 28 21'];['Geologia i geofizyka']
Z.P.H.U. KAMAR;ul. Marmurowa 2020-035 Kielce;www.geonarzedzia.pl;None;['tel. (41) 361 67 23', 'kom. 600 404 092'];['Geologia i geofizyka', 'Wysokościowe prace']
Zakład Usług Geologiczno Górniczych;ul. Przemysłowa 7b63-700 Krotoszyn;www.zugg.pl;None;['kom. 505 260 372'];['Geologia i geofizyka']
Zakład Usług Hydrogeologicznych Zygmunt Kliński;ul. Skrzypowa 1181-589 Gdynia;zuh.com.pl;None;['tel./fax (58) 629 75 05', 'kom. 607 584 605'];['Geologia i geofizyka']
Pracownia Projektowa Projektowanie, Nadzór, Badania Geotechniczne mgr inż. Bernard Kulesza;ul. Flukowskiego 1674-320 Barlinek;www.projektybadaniageotech-barlinek.pl;None;['tel. (95) 746 15 74', 'kom. 607 066 391', 'kom. 662 939 643'];['Biura projektów', 'Geologia i geofizyka', 'Nadzór budowlany, kosztorysowanie']
ABC INWESTYCJE;ul. Jana Kowalika 12 Niegoszowice32-064 Niegoszowice;www.abcinwestycje.pl;biuro@abcinwestycje.pl;['kom. 505 852 301', 'kom. 513 707 797', 'tel. (12) 418 41 81'];['Geodezja, plany, mapy', 'Certyfikaty energetyczne', 'Nieruchomości - zarządzanie, sprzedaż, wynajem, wyceny']
ARCHGEO Geodezja, Projekty Przemysław Grzelak;ul. Piłsudskiego 1905-074 Halinów;www.archgeo-geodezja-projekty.pl;p.grzelak_geodezja@onet.eu;['kom. 501 100 763'];['Geodezja, plany, mapy']
Biuro Usług Geodezyjno-Kartograficznych GEOPOM Bogusław Rybarczyk;ul. Akacjowa 364-500 Szamotuły;www.geopom.com.pl;geopom2@WP-P‘;['tel./fax (61) 292 21 00'];['Geodezja, plany, mapy']
EWIGEO Usługi Geodezyjne Grzegorz Bednarz;ul. Starostrzelecka 147-143 Ujazd;www.oferteo.pl;gbednarzwp.p|@WP-P‘;['kom. 513 354 605'];['Geodezja, plany, mapy']
Geo-Serwis;ul. Łabędzia 1880-126 Gdańsk;www.geo-serwis.com.pl;geoserwis@polskieprodukty.pl;['tel./fax (58) 322 11 67', 'kom. 601 652 651'];['Geodezja, plany, mapy', 'Pomiary, urządzenia pomiarowe']
Geodezja EMCGEO Maciej Ćwiertnia;ul. Powstańców 7a67-200 Głogów;www.emcgeo.pl;emcgeo@emcgeo.pl;['kom. 605 493 519', 'kom. 601 061 899'];['Geodezja, plany, mapy']
GEONUM S.c. - usługi geodezyjne, aplikacje MicroStation;ul. Podwale 75/31150-449 Wrocław - Krzyki;www.geonum.pl;None;['kom. 601 563 058'];['Geodezja, plany, mapy', 'Informatyka']
HEWA Przedsiębiorstwo Geodezyjno-Kartograficzne;ul. Mirtowa 2404-690 Warszawa - Wawer;www.hewa.waw.pl;hwyrzykowski@hewa.waw.pl;['tel./fax (22) 815 30 81', 'kom. 601 225 843'];['Geodezja, plany, mapy']
MK GEO S.c. M.Wierzchoń, J.Kwerko;ul. Fabryczna 80B05-270 Marki;www.mkgeo.pl;biuro@mkgeo.pl;['kom. 607 156 380', 'kom. 601 812 084'];['Geodezja, plany, mapy']
Pracownia Geodezyjno-Kartograficzna Adam Jarosz;ul. Sienna 632-500 Chrzanów;www.geodezjachrzanow.pl;pgkchrzanow@o2.pl;['tel. (32) 623 50 34', 'kom. 601 208 597', 'kom. 607 098 779'];['Geodezja, plany, mapy']
Przedsiębiorstwo Usług Projektowo-Budowlanych i Geodezyjnych GEOBUD;osiedle Dolnośląskie 148h97-400 Bełchatów;www.geobud.info;biuro@geobud.info;['tel. (44) 632 80 60'];['Geodezja, plany, mapy']
Antoni Buczek Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych;ul. Budziszyńska 28/159-300 Lubin;www.pugik.pl;abuczek@pugik.pl;['tel./fax (76) 844 11 33', 'kom. 501 780 861'];['Geodezja, plany, mapy']
Firma Geodezyjna coolGEO Grzegorz Kulas;ul. Sportowa 1627-300 Lipsko;www.coolgeo.pl;biuro@coolgeo.pl;['kom. 605 856 731'];['Geodezja, plany, mapy']
GEODEX Sp. z o.o.;Plac Wolności 8/178-400 Szczecinek;www.geodex-geodezja.pl;geodex@geodex-geodezja.pl;['kom. 602 103 317', 'kom. 668 049 047'];['Geodezja, plany, mapy']
GEODEZJA Poźniakowski i Syn Bartłomiej Poźniakowski;ul. Rynek Zygmunta Augusta 2716-300 Augustów;None;geodezja.pozniakowski@gmail.com;['kom. 509 500 244'];['Geodezja, plany, mapy']
GEODEZJA Zakład Usługowy Andrzej Frelek;ul. Leszka Czarnego 19/5697-500 Radomsko;None;andrzejfrelek@onet.pl;['kom. 603 696 527', 'tel. (44) 683 63 17', 'kom. 502 793 192'];['Geodezja, plany, mapy', 'Architekci']
GiK Geodezja i Kartografia Nowy Sącz Jacek Matuszewski Geodeta;ul. Naściszowska 20 lok.1633-300 Nowy Sącz;None;jack.matuszewski@gmail.com;['kom. 668 302 968'];['Geodezja, plany, mapy']
GLOB K&Z;ul. Komorska 48a04-161 Warszawa - Praga-Północ;www.glob-kz.pl;biuro@glob-kz.pl;['tel. (22) 425 19 40', 'fax (22) 425 19 41'];['Geodezja, plany, mapy', 'Architekci', 'Remonty i usługi budowlane']
Przedsiębiorstwo Geodezyjne ASTRA Sp. z o.o.;ul. Kolendrowa 7D/3981-589 Gdynia;www.astrageodezja.pl;astra@data.pl;['tel. (58) 629 91 77', 'kom. 601 690 290'];['Geodezja, plany, mapy']
Przedsiębiorstwo Usług Geodezyjno-Kartograficznych GEO Andrzej Kalwajtys;ul. Papieża Jana Pawła II 16 u2/216-400 Suwałki;geosuwalki.pl;firma@geo.suwalki.pl;['tel./fax (87) 566 35 24', 'kom. 501 019 118'];['Geodezja, plany, mapy']
GEOPOMIAR.eu;ul. Kopalniana 4943-173 Łaziska Górne;geopomiar.eu;None;['kom. 530 390 360', 'kom. 795 327 795'];['Geodezja, plany, mapy']
USŁUGI GEODEZYJNE inż. Patryk Janczak;Osiecza Druga 28a62-586 Rzgów;None;None;['kom. 726 691 054'];['Geodezja, plany, mapy']
AZ GEODEZJA Mariusz Schwierz;ul. Jesionowa 1545-409 Opole;www.uslugi-geodezyjne.opole.pl;None;['kom. 792 083 704'];['Geodezja, plany, mapy']
AzymuT Biuro Usług Geodezyjnych i Kartograficznych Marcin Skrzypek;ul. Fabryczna 13a65-410 Zielona Góra;www.azymut-geodezja.pl;None;['kom. 600 927 092'];['Geodezja, plany, mapy']
Biuro Geodezji EWGRUN;ul. Stephensona 5a22-100 Chełm;ewgrun.pl;None;['tel./fax (82) 560 58 07', 'kom. 501 484 338'];['Geodezja, plany, mapy']
Biuro Geodezji i Nieruchomości Jaromir Bardzik;pl. Piłsudskiego 15-17c/1045-706 Opole;www.geodezja-nieruchomosci.pl;None;['kom. 609 223 236', 'tel. (77) 439 10 42'];['Geodezja, plany, mapy', 'Nieruchomości - zarządzanie, sprzedaż, wynajem, wyceny']
Biuro Usług Geodezyjnych GEOTEAM S.c.;ul. 27 Stycznia 4264-980 Trzcianka;www.geoteam.w.interia.pl;None;['tel. (67) 216 22 92'];['Geodezja, plany, mapy']
ESGEO Usługi Geodezyjne;ul. Chrobrego 741-106 Siemianowice Śląskie;www.esgeo.pl;None;['kom. 696 781 335'];['Geodezja, plany, mapy']
F.H.U. HANPOS Marek Dereszewicz;Brzezie 5663-800 Gostyń;www.geodezjahanpos.republika.pl;None;['tel./fax (65) 575 17 04', 'kom. 602 223 900'];['Geodezja, plany, mapy']
F.U.H. GEO-ALFA Grupa Geodezyjna;ul. Kwiska 5/7 pok.69-7054-130 Wrocław - Fabryczna;www.geoalfa.pl;None;['kom. 691 694 972', 'tel. (71) 352 10 17'];['Geodezja, plany, mapy']
F.U.H. Pracownia Geodezyjna Sobieraj Jacek;ul. Daszyńskiego 7/498-200 Sieradz;www.fuh-geo.pl;None;['kom. 605 360 611'];['Geodezja, plany, mapy']
Firma Geodezyjna Geoinvest;ul. Anieli Salawy 9332-447 Siepraw;www.geoinvest24.pl;None;None;['Geodezja, plany, mapy', 'Ekspertyzy, wdrożenia, analizy']
Firma Usług Geodezyjnych FUGAK;ul. Wiosny Ludów 5043-600 Jaworzno;www.geodeta-fugak.pl;None;['kom. 602 553 070'];['Geodezja, plany, mapy']
GEO-KART;ul. Strażacka 1b87-410 Kowalewo Pomorskie;www.geo-kartkowalewo.pl;None;['kom. 501 405 785'];['Geodezja, plany, mapy']
Geo-Neo Usługi Geodezyjno-Kartograficzne;ul. Zwycięstwa 106-108 p.3175-950 Koszalin;www.geo-neo.pl;None;['kom. 501 383 468', 'kom. 501 264 668'];['Geodezja, plany, mapy']
Geo-Projekt Biuro Usług Geodezyjno-Projektowych inż. Marcin Chlebowski;ul. Krótka 262-007 Biskupice;www.geo-projekt.pl;None;['kom. 607 616 055'];['Geodezja, plany, mapy']
GEO-PROJEKT Usługi Geodezyjno-Projektowe;ul. Reymonta 505-091 Ząbki;www.warszawa-geo-projekt.pl;None;['kom. 609 009 517', 'kom. 503 766 664'];['Geodezja, plany, mapy']
GEO-SYSTEM;plac Kasprowicza 1/140-749 Katowice;www.geodezja-wycena.pl;None;['tel./fax (32) 355 21 40', 'kom. 606 337 090'];['Geodezja, plany, mapy', 'Nieruchomości - zarządzanie, sprzedaż, wynajem, wyceny']
GeoAzymut - Geodeta;ul. Rynek 25/356-100 Wołów;www.azymut.geodetawolow.pl;None;['kom. 510 095 604'];['Geodezja, plany, mapy']
GEOBIT Usługi Geodezyjne;ul. Polna 3705-660 Warka;www.geobitsw.xgeo.pl;None;['tel./fax (48) 667 21 51', 'kom. 604 209 256'];['Geodezja, plany, mapy']
GEODETA Przedsiębiorstwo Geodezyjne;ul. Hiacyntowa 3b/4662-510 Konin;www.geodeta.org;None;['tel. (63) 245 86 16'];['Geodezja, plany, mapy']
Geodeta Uprawniony Zbigniew Ostrowski;ul. Dworcowa 66/13710-437 Olsztyn;www.mierniczy-gorniczy.pl;None;['kom. 601 557 784'];['Geodezja, plany, mapy']
Geodex;ul. Limanowskiego 1187-880 Brześć Kujawski;www.geodex.republika.pl;None;['kom. 606 503 681'];['Geodezja, plany, mapy']
Geodezja Bartosz Gałka;ul. Śliczna 22c/2250-566 Wrocław;www.geodezjabartoszgalka.pl;None;['kom. 695 130 998'];['Geodezja, plany, mapy']
Geodezja i Wycena Nieruchomości GEO-METRUM;25-900 Kielce;www.geodeta-kielce.pl;None;['kom. 506 652 848'];['Geodezja, plany, mapy', 'Rzeczoznawcy']
GEODEZJA PHU Aleksander Świątecki;ul. Krajewskiego 2482-200 Malbork;www.geodezja-malbork.pl;None;['kom. 601 674 488', 'tel. (55) 272 68 66', 'tel. (55) 272 11 10', 'tel. (55) 647 14 15'];['Geodezja, plany, mapy']
GEOMAP Sylwester Paluch;Chorkówka 9938-458 Chorkówka;www.geodezja-krosno.pl;None;['kom. 530 989 444'];['Geodezja, plany, mapy']
GEOMET Usługi Geodezyjno-Kartograficzne Arkadiusz Klag;ul. Jana Kazimierza 1134-400 Nowy Targ;www.geomet.com.pl;None;['kom. 691 891 047'];['Geodezja, plany, mapy']
GEOOFFICE Biuro Usług Geodezyjnych;ul. Lubawska 3/8781-066 Gdynia;www.geooffice.pl;None;['kom. 691 570 969'];['Geodezja, plany, mapy']
GEOPERFECT Sp.j.;ul. Batorego 2743-200 Pszczyna;www.mierzymy.com.pl;None;['kom. 502 567 824', 'kom. 605 657 014'];['Geodezja, plany, mapy']
GEOPOL Zakład Usług Geodezyjno-Kartograficznych;ul. Kopernika 10/459-300 Lubin;www.geopol.nazwa.pl;None;['tel. (76) 844 30 68', 'fax (76) 844 17 39'];['Geodezja, plany, mapy']
Geosortis S.c.;ul. Partyzantów 1141-400 Sosnowiec;www.geosortis.pl;None;['kom. 506 911 076'];['Geodezja, plany, mapy']
Geotras Sp.j.;ul. Sikorskiego 162-400 Słupca;www.geotras.net;None;['kom. 602 474 826', 'kom. 664 168 661'];['Geodezja, plany, mapy']
GPS.PL inż. Eryk J.Lipiński;ul. Jasnogórska 2331-358 Kraków - Krowodrza;www.gps.pl;None;['tel. (12) 637 71 49'];['Geodezja, plany, mapy']
MPTGEO Dostawca Usług Geodezyjnych;ul. Sokola 6 Marcinkowice55-200 Oława;www.mptgeo.pl;None;['kom. 606 929 582', 'kom. 604 263 178'];['Geodezja, plany, mapy']
P.U.G. Geofach S.c.;ul. Graniczna 57c/3240-018 Katowice;www.geofach.republika.pl;None;['kom. 601 530 917', 'kom. 602 588 315'];['Geodezja, plany, mapy']
PIN-GEO;Jugowice58-321 Jugowice;pin-geo.pl;None;['kom. 781 666 055'];['Geodezja, plany, mapy']
Pomiary Geodezyjne Tomasz Lewicki;ul. Kilińskiego 10/556-400 Oleśnica;www.tomlewicki.geodezja.pl;None;['tel. (71) 398 45 59', 'kom. 602 198 120'];['Geodezja, plany, mapy']
Prace Geodezyjne Mariusz Skaczyło;ul. Kromera 4857-300 Kłodzko;None;None;['kom. 605 721 725'];['Geodezja, plany, mapy']
Pracownia Geodezyjna GEO-INVEST;ul. Ogrodowa 2095-082 Chechło Drugie;www.geo-invest.com.pl;None;['tel. (43) 677 22 61', 'kom. 888 728 592', 'kom. 606 652 668'];['Geodezja, plany, mapy']
Pracownia Geodezyjna GLOBAL-GEO Grzegorz Kapuściński;ul. Krzywa 1219-300 Ełk;www.globalgeo.pl;None;['kom. 602 478 181'];['Geodezja, plany, mapy']
Przedsiębiorstwo Geodezyjno-Projektowe DEBET Sp. z o.o.;ul. Wojska Polskiego 1883-000 Pruszcz Gdański;www.debet.gda.pl;None;['tel./fax (58) 683 50 50'];['Geodezja, plany, mapy']
Przedsiębiorstwo Usług Geodezyjno-Kartograficznych GEA S.c;ul. Legionów 1897-200 Tomaszów Mazowiecki;www.pugk-gea.pl;None;['tel./fax (44) 724 40 43', 'tel./fax (44) 725 17 72'];['Geodezja, plany, mapy']
Przedsiębiorstwo Usług Geodezyjnych GEOPOL S.c.;ul. Warszawska 55b05-082 Lubaczów;None;None;['tel. (22) 722 06 86', 'kom. 501 233 180'];['Geodezja, plany, mapy']
Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych Krzysztof Michał Bąk;ul. Wspólna 426-420 Nowe Miasto nad Pilicą;None;None;['kom. 884 735 391'];['Geodezja, plany, mapy']
Przedsiębiorstwo Wielobranżowe GEOMETRA;ul. Szkolna 966-100 Sulechów;www.geometra-sulechow.com;None;['tel. (68) 385 42 31', 'tel. (68) 352 82 51', 'fax (68) 352 82 50'];['Geodezja, plany, mapy']
PUGK GEOEXPRES;ul. Bednarska 12 I/a82-300 Elbląg;www.geoexpres.com.pl;None;['tel. (55) 233 68 77', 'tel. (55) 233 55 63', 'fax (55) 233 60 79'];['Geodezja, plany, mapy']
PUI Andrzej Dzieniszewski Usługi Geodezyjne i Kartograficzne;ul. Kościuszki 31/2514-200 Iława;www.geodezja.ilawa.pl;None;['tel. (89) 648 73 56', 'kom. 605 762 272'];['Geodezja, plany, mapy']
Skargeo Pomiary Geodezyjne;Gostków26-120 Bliżyn;www.skargeo.pl;None;['kom. 514 470 542'];['Geodezja, plany, mapy']
SKYEYE;ul. Grudziądzka 3287-100 Toruń;www.skyeye.com.pl;None;['kom. 505 084 885'];['Geodezja, plany, mapy']
TERRA Geodezja;ul. Dantyszka 4a/581-263 Gdynia;terrageodezja.pl;None;['kom. 514 625 430'];['Geodezja, plany, mapy']
Usługi Geodezyjne ART-GEO s.c.;ul. Lwowska 2565-225 Zielona Góra;www.art-geo.com;None;['tel. (68) 453 00 90'];['Geodezja, plany, mapy']
Usługi Geodezyjne GEO-FM;ul. Parkowa 2855-010 Święta Katarzyna;www.geofm.pl;None;['kom. 692 244 689'];['Geodezja, plany, mapy']
Usługi Geodezyjne i Katrograficzne;ul. Sikorskiego 42/1762-030 Luboń;www.geodes.republika.pl;None;['tel./fax (061) 813 91 38', 'kom. 501 232 258'];['Geodezja, plany, mapy']
Usługi Geodezyjne MAPA;ul. Dworcowa 2186-200 Chełmno;www.chelmno-geodeta.pl;None;['kom. 668 413 088'];['Geodezja, plany, mapy']
Usługi Geodezyjne Sławomir Tomczak;ul. Damroki 6/980-175 Gdańsk;www.geodezyjne.firma.webpark.pl;None;['kom. 603 923 353'];['Geodezja, plany, mapy']
Usługi Geodezyjne-Tadeusz Kozoń;ul. Kartuska 382-300 Elbląg;www.geodezja.elblag.pl;None;['tel. (55) 233 48 27', 'tel. (55) 236 72 07', 'kom. 506 106 322'];['Geodezja, plany, mapy']
Zenit Usługi Geodezyjne Maciej Łacina;48-200 Prudnik;None;None;['kom. 607 770 489'];['Geodezja, plany, mapy']
Ceramika Color Sp. z o.o.;Kopaniny 11b26-200 Końskie;www.ceramikacolor.pl;info@ceramikacolor.pl;['tel. (41) 372 17 65', 'tel. (41) 372 17 82', 'tel. (41) 375 91 01'];['Glazura i terakota']
STARGRES Sp. z o.o.;ul. Ceramiczna 526-200 Końskie;www.stargres.com.pl;info@stargres.pl;['tel. (41) 314 20 25', 'fax (41) 314 20 25 w.6'];['Glazura i terakota']
CEDZYNA ŁAZIENKI;ul. Cedro Mazur 725-252 Kielce;www.cedzynaplytki.pl;biuro@cedzynaplytki.pl;['tel. (41) 368 01 65', 'kom. 533 142 120', 'kom. 799 716 422'];['Glazura i terakota', 'Łazienki - wyposażenie']
P.H.U. CERAMED;ul. Piekarska 16343-300 Bielsko-Biała;ceramed.pl;info@ceramed.com.pl;['tel. (33) 829 87 70', 'fax (33) 829 87 73'];['Glazura i terakota', 'Łazienki - wyposażenie']
FHU GABI Christian Ćwikliński;ul. Wspólna 10527-400 Ostrowiec Świętokrzyski;www.fhugabi.pl;gabi®fhugabi.p|;['tel./fax (41) 263 52 47'];['Glazura i terakota', 'Łazienki - wyposażenie']
Adari FHU;ul. Roździeńskiego 18840-203 Katowice;www.adari.com.pl;adari@adari.com.pl;['tel./fax (32) 258 95 74', 'kom. 695 888 879', 'tel. (33) 822 04 49 Bielsko-Biała', 'kom. 504 015 069 Bielsko-Biała', 'tel. (32) 232 21 55 Gliwice', 'kom. 693 910 965 Gliwice'];['Glazura i terakota', 'Łazienki - wyposażenie', 'Remonty i usługi budowlane', 'Firmy budowlane', 'Architekci', 'Architektura wnętrz', 'Apartamenty', 'Deweloperzy']
ANER S.c.;ul. Jagiellońska 303-721 Warszawa - Praga-Północ;www.aner.waw.pl;anersklep@WP-P‘;['tel./fax (22) 468 03 59', 'kom. 515 074 380', 'kom. 604 613 525'];['Glazura i terakota', 'Łazienki - wyposażenie', 'Ceramika, porcelana']
Centrum Cięcia Glazury;ul. Metalurgiczna 9b20-234 Lublin;www.ccglublin.com;biuro@ccglublin.com;['kom. 660 728 714', 'kom. 692 874 475'];['Glazura i terakota']
CER-BUD Hurtownia Płytek Ceramicznych S.c.;ul. Wrocławska 155-300 Środa Śląska;www.cer-bud.eu;irm50@poczta.onet.pl;['tel./fax (71) 317 39 11', 'kom. 603 582 434 dział paneli i drzwi'];['Glazura i terakota', 'Dekoracje, wyposażenie wnętrz', 'Drzwi']
Ceramika DOMART;ul. Szczecińska 2472-400 Kamień Pomorski;www.ceramikadomart.pl;ceramika.domart@op.pl;['tel. (91) 382 40 20', 'kom. 508 365 599'];['Glazura i terakota']
DEKOR S.c.;ul. Fabryczna 1d32-600 Oświęcim;www.dekoroswiecim.com.pl;dekorkolbego@gmail.com;['tel./fax (33) 843 26 15', 'kom. 503 133 394'];['Glazura i terakota', 'Łazienki - wyposażenie', 'Ceramika, porcelana']
DEKOR-CERAMIKA;ul. Szkolna 1513-306 Marzęcice;www.dekor-ceramika.pl;kontakt@dekor-ceramika.pl;['tel./fax (56) 474 84 22', 'kom. 507 366 054', 'kom. 607 174 495'];['Glazura i terakota', 'Podłogi - parkiety, panele']
PPHU PROGRES;ul. Łąkowa 4526-307 Białaczów;www.progres-online.pl;info@progres-online.pl;['tel. (44) 758 12 48', 'kom. 663 919 096', 'kom. 887 199 199'];['Glazura i terakota', 'Materiały budowlane']
Przedsiębiorstwo Produkcyjno-Handlowe WIMAR-Wiak, Wierzchowski Sp.j.;ul. Rusałka 1020-133 Lublin;www.wimar.lublin.pl;biuro@wimar.lublin.pl;['tel. (81) 743 62 52'];['Glazura i terakota', 'Łazienki - wyposażenie', 'Instalacje, urządzenia sanitarne', 'Podłogi - parkiety, panele']
WOMAG Sp.j.;ul. Bystrzycka 69c54-215 Wrocław - Fabryczna;www.womag.pl;biuro@womag.pl;['tel. (71) 352 11 50'];['Glazura i terakota', 'Materiały budowlane', 'Łazienki - wyposażenie']
KAMBET;ul. Suchoniowa 1034-340 Jeleśnia;www.kambet.pl;hurtownia@profil.pila.pl;['tel. (33) 863 61 04', 'kom. 601 577 427'];['Podłogi - parkiety, panele', 'Glazura i terakota']
ARMALUX Wyposażenie Łazienek;ul. Mińska 3554-610 Wrocław - Fabryczna;www.armalux.wroc.pl;biuro@boz.pl;['tel./fax (71) 354 41 76', 'tel. (71) 374 02 01'];['Łazienki - wyposażenie', 'Instalacje, urządzenia sanitarne', 'Glazura i terakota', 'Dekoracje, wyposażenie wnętrz']
ROMAX;ul. Fort Wola 22 (przy markecie Real)01-258 Warszawa - Wola;www.romax.waw.pl;domex@domex.com.pl;['tel./fax (22) 836 23 57', 'tel./fax (22) 663 08 25', 'kom. 501 069 048'];['Łazienki - wyposażenie', 'Glazura i terakota', 'Drzwi']
AUTO-GAZ TOTU - Serwis Elpigaz;ul. Chrobrego 6287-100 Toruń;www.autogaz.torun.pl;biuro@magicdecor.eu;['tel./fax (56) 664 47 20', 'kom. 504 291 255'];['Samochodowe instalacje gazowe - lpg, cng', 'Klimatyzacja samochodowa', 'Glazura i terakota']
1000 Płytek Agnieszka Strychalska;ul. 1 Maja 1026-200 Końskie;e-plytki.eu;None;['kom. 881 021 810', 'kom. 881 021 811', 'tel. (41) 366 47 96'];['Glazura i terakota']
ADAM Płytki Ceramiczne;ul. Słupecka 162-436 Orchowo;www.adam.bazafirm.pl;immerbud@op.pl;['tel. (63) 269 42 48', 'tel. (63) 249 38 31', 'kom. 608 596 517', 'fax (63) 268 40 08'];['Glazura i terakota']
CERMEX;ul. Strażacka 1a24-300 Opole Lubelskie;plytki-opole.pl;None;['tel. (81) 827 26 10'];['Glazura i terakota', 'Łazienki - wyposażenie', 'Podłogi - parkiety, panele']
CPC Centrum Płytek Ceramicznych;ul. Jana z Kolna 24/2681-351 Gdynia;www.cpcgdynia.pl;None;['tel. (58) 621 12 84'];['Glazura i terakota']
F.H.U. DOM TECH;ul. Sierakowska 1905-092 Łomianki;None;None;['tel. (22) 751 61 81'];['Glazura i terakota']
